Product Name,Price,Ratings
"2020 HP 15.6"" Touchscreen Laptop Computer/ 10th Gen Intel Quard-Core i5 1035G1 up to 3.6GHz/ 12GB DDR4 RAM/ 256GB PCIe SSD/ 802.11ac WiFi/ Bluetooth 4.2/ USB 3.1 Type-C/ HDMI/ Silver/ Windows 10 Home",$598.00,4.5 out of 5 stars
"2020 HP 15.6"" Touchscreen Laptop Computer/ 10th Gen Intel Quard-Core i5 1035G1 up to 3.6GHz/ 12GB DDR4 RAM/ 256GB PCIe SSD/ 802.11ac WiFi/ Bluetooth 4.2/ USB 3.1 Type-C/ HDMI/ Silver/ Windows 10 Home",$0,4.5 out of 5 stars
"2020 HP 14 inch HD Laptop, Intel Celeron N4020 up to 2.8 GHz, 4GB DDR4, 64GB eMMC Storage, WiFi 5, WebCam, HDMI, Windows 10 S /Legendary Accessories (Google Classroom or Zoom Compatible) (Indigo Blue)",$379.99,4.6 out of 5 stars
"2020 HP 14 inch HD Laptop, Intel Celeron N4020 up to 2.8 GHz, 4GB DDR4, 64GB eMMC Storage, WiFi 5, WebCam, HDMI, Windows 10 S /Legendary Accessories (Google Classroom or Zoom Compatible) (Indigo Blue)",$0,4.6 out of 5 stars
"ASUS TUF Gaming Laptop, 15.6” 144Hz Full HD IPS-Type Display, Intel Core i7-9750H Processor, GeForce GTX 1650, 8GB DDR4, 512GB PCIe SSD, Gigabit Wi-Fi 5, Windows 10 Home, FX505GT-AB73",$839.00,4.7 out of 5 stars
"ASUS TUF Gaming Laptop, 15.6” 144Hz Full HD IPS-Type Display, Intel Core i7-9750H Processor, GeForce GTX 1650, 8GB DDR4, 512GB PCIe SSD, Gigabit Wi-Fi 5, Windows 10 Home, FX505GT-AB73",$0,4.7 out of 5 stars
"ACEPC 14-inch HD Laptop Computer, 8GB RAM 128GB SSD Windows 10 Pro Laptop PC Intel Celeron J3455(up to 2.3GHz) Notebook, WiFi, Bluetooth 4.2, 4K HDMI",$349.90,4.0 out of 5 stars
"ACEPC 14-inch HD Laptop Computer, 8GB RAM 128GB SSD Windows 10 Pro Laptop PC Intel Celeron J3455(up to 2.3GHz) Notebook, WiFi, Bluetooth 4.2, 4K HDMI",$0,4.0 out of 5 stars
"HP 2021 Premium 14"" HD Touchscreen Laptop Computer, 2 Core AMD Ryzen 3-3250U 2.6GHz, 8GB RAM, 256GB SSD, No DVD, Webcam, Bluetooth, Wi-Fi, HDMI, Win 10, ROKC HDMI Cable",$469.99,4.1 out of 5 stars
"HP 2021 Premium 14"" HD Touchscreen Laptop Computer, 2 Core AMD Ryzen 3-3250U 2.6GHz, 8GB RAM, 256GB SSD, No DVD, Webcam, Bluetooth, Wi-Fi, HDMI, Win 10, ROKC HDMI Cable",$0,4.1 out of 5 stars
"Jumper Laptop 13.3 inch 8GB RAM 128GB ROM Quad Core Celeron, Windows 10 Thin and Light Laptop, Full HD 1080P Display, Support 128GB TF Cardand 1TB SSD Expansion",$309.99,4.3 out of 5 stars
"Jumper Laptop 13.3 inch 8GB RAM 128GB ROM Quad Core Celeron, Windows 10 Thin and Light Laptop, Full HD 1080P Display, Support 128GB TF Cardand 1TB SSD Expansion",$0,4.3 out of 5 stars
"2021 Newest HP 15.6 FHD IPS Flagship Laptop, 11th Gen Intel 4-Core i5-1135G7(4.2GHz Max, Beat i7-1060G7), 16GB RAM, 512GB PCIe SSD, Iris Xe Graphics, Fast Charge, WiFi 6, Lightweight,w/GM Accessories",$749.00,4.8 out of 5 stars
"2021 Newest HP 15.6 FHD IPS Flagship Laptop, 11th Gen Intel 4-Core i5-1135G7(4.2GHz Max, Beat i7-1060G7), 16GB RAM, 512GB PCIe SSD, Iris Xe Graphics, Fast Charge, WiFi 6, Lightweight,w/GM Accessories",$0,4.8 out of 5 stars
"2021 Newest HP 15.6"" FHD IPS Touchscreen Laptop, 10th Gen Intel i7-1065G7(Up to 3.9GHz), 16GB RAM, 512GB PCIe SSD, Intel Iris Plus Graphics, Webcam, USB-A&C, HDMI, WiFi, Win10, w/GM Accessories",$799.00,4.5 out of 5 stars
"2021 Newest HP 15.6"" FHD IPS Touchscreen Laptop, 10th Gen Intel i7-1065G7(Up to 3.9GHz), 16GB RAM, 512GB PCIe SSD, Intel Iris Plus Graphics, Webcam, USB-A&C, HDMI, WiFi, Win10, w/GM Accessories",$0,4.5 out of 5 stars
"HP ProBook 6450b 14 Inch Business Laptop, Intel Core i5-520M 2.4GHz, 4G DDR3, 500G, DVDRW, WiFi, VGA, Display Port, Windows 10 Pro 64 Bit-Multi-Language Supports English/French/Spanish(Renewed)",$229.99,-1
"HP ProBook 6450b 14 Inch Business Laptop, Intel Core i5-520M 2.4GHz, 4G DDR3, 500G, DVDRW, WiFi, VGA, Display Port, Windows 10 Pro 64 Bit-Multi-Language Supports English/French/Spanish(Renewed)",$0,-1
"HP 15.6"" Ryzen 5 8GB/256GB Laptop-Rose Gold",$0,4.4 out of 5 stars
"HP 15.6"" Ryzen 5 8GB/256GB Laptop-Rose Gold",$0,4.4 out of 5 stars
2020 Hp 15.6 Notebook Intel Pentium N5000 2.7GHz 4Gb Ram 500Gb Hdd Windows 10 Home,$344.99,4.2 out of 5 stars
2020 Hp 15.6 Notebook Intel Pentium N5000 2.7GHz 4Gb Ram 500Gb Hdd Windows 10 Home,$0,4.2 out of 5 stars
"2021 Newest HP Pavilion X360 2-in-1 Convertible 14"" HD Touch-Screen Laptop, 10th Gen Intel Core i3-1005G1(Up to 3.4GHz, Beat i5-7200U), 8GB RAM, 128GB SSD, WiFi 5, Webcam, Windows 10 S + Oydisen Cloth",$549.99,4.6 out of 5 stars
"2021 Newest HP Pavilion X360 2-in-1 Convertible 14"" HD Touch-Screen Laptop, 10th Gen Intel Core i3-1005G1(Up to 3.4GHz, Beat i5-7200U), 8GB RAM, 128GB SSD, WiFi 5, Webcam, Windows 10 S + Oydisen Cloth",$0,4.6 out of 5 stars
"Acer Swift 3 Thin & Light Laptop, 14"" Full HD IPS, AMD Ryzen 7 4700U Octa-Core Processor with Radeon Graphics, 16GB LPDDR4X, 512GB NVMe SSD, WiFi 6, Backlit KB, Fingerprint Reader, SF314-42-R3U5",$829.99,4.6 out of 5 stars
"Acer Swift 3 Thin & Light Laptop, 14"" Full HD IPS, AMD Ryzen 7 4700U Octa-Core Processor with Radeon Graphics, 16GB LPDDR4X, 512GB NVMe SSD, WiFi 6, Backlit KB, Fingerprint Reader, SF314-42-R3U5",$0,4.6 out of 5 stars
"2020 Newest Lenovo IdeaPad 3 15"" Laptop, AMD Ryzen 5 3500U Quad-Core Processor, 8GB Memory, 256GB Solid State Drive, Windows 10, Abyss Blue, 81W1009DUS (Google Classroom Compatible)",$497.00,4.5 out of 5 stars
"2020 Newest Lenovo IdeaPad 3 15"" Laptop, AMD Ryzen 5 3500U Quad-Core Processor, 8GB Memory, 256GB Solid State Drive, Windows 10, Abyss Blue, 81W1009DUS (Google Classroom Compatible)",$0,4.5 out of 5 stars
"Dell Inspiron 15 5000 Series 5502 Laptop i7-1165G7 Processor, 8GB, 1x8GB, 256GB M.2 PCIe NVMe Solid State Drive, 15.6-inch FHD (1920 x 1080) Anti-Glare LED Backlight Non-Touch Display",$689.87,5.0 out of 5 stars
"Dell Inspiron 15 5000 Series 5502 Laptop i7-1165G7 Processor, 8GB, 1x8GB, 256GB M.2 PCIe NVMe Solid State Drive, 15.6-inch FHD (1920 x 1080) Anti-Glare LED Backlight Non-Touch Display",$0,5.0 out of 5 stars
"AVITA 14"" Pura [CN6Q14] AMD A9 8GB RAM 128GB SSD IPS 1920 x 1080 HD Screen Windows 10 Laptop for Online Class (Glossy Purple)",$319.99,4.1 out of 5 stars
"AVITA 14"" Pura [CN6Q14] AMD A9 8GB RAM 128GB SSD IPS 1920 x 1080 HD Screen Windows 10 Laptop for Online Class (Glossy Purple)",$0,4.1 out of 5 stars
2021 Flagship HP Notebook 15 Laptop 15.6” Diagonal HD Display Intel Pentium Gold 6405U 4GB RAM 500GB HDD Intel UHD Graphics HDMI USB-C WiFi Webcam Win10 + iCarp Wireless Mouse,$419.00,4.3 out of 5 stars
2021 Flagship HP Notebook 15 Laptop 15.6” Diagonal HD Display Intel Pentium Gold 6405U 4GB RAM 500GB HDD Intel UHD Graphics HDMI USB-C WiFi Webcam Win10 + iCarp Wireless Mouse,$0,4.3 out of 5 stars
"2020 HP 14 inch HD Laptop Newest for Business and Student, AMD Athlon Silver 3050U (Beat i5-7200U), 16GB DDR4 RAM, 512GB SSD, 802.11ac, WiFi, Bluetooth, HDMI, Windows 10 w/HESVAP 3in1 Accessories",$579.00,4.4 out of 5 stars
"2020 HP 14 inch HD Laptop Newest for Business and Student, AMD Athlon Silver 3050U (Beat i5-7200U), 16GB DDR4 RAM, 512GB SSD, 802.11ac, WiFi, Bluetooth, HDMI, Windows 10 w/HESVAP 3in1 Accessories",$0,4.4 out of 5 stars
2021 Flagship HP Notebook 15 Laptop 15.6” Diagonal HD Display Intel Pentium Gold 6405U 4GB RAM 500GB HDD Intel UHD Graphics HDMI USB-C WiFi Webcam Win10 + iCarp Wireless Mouse,$419.00,4.3 out of 5 stars
2021 Flagship HP Notebook 15 Laptop 15.6” Diagonal HD Display Intel Pentium Gold 6405U 4GB RAM 500GB HDD Intel UHD Graphics HDMI USB-C WiFi Webcam Win10 + iCarp Wireless Mouse,$0,4.3 out of 5 stars
"Acer Aspire 5 A515-55G-57H8, 15.6"" Full HD IPS Display, 10th Gen Intel Core i5-1035G1, NVIDIA GeForce MX350, 8GB DDR4, 512GB NVMe SSD, Intel Wireless WiFi 6 AX201, Backlit KB, Windows 10 Home",$630.52,4.6 out of 5 stars
"Acer Aspire 5 A515-55G-57H8, 15.6"" Full HD IPS Display, 10th Gen Intel Core i5-1035G1, NVIDIA GeForce MX350, 8GB DDR4, 512GB NVMe SSD, Intel Wireless WiFi 6 AX201, Backlit KB, Windows 10 Home",$0,4.6 out of 5 stars
"Hyundai Thinnote-A, 14.1"" Celeron Laptop, 4GB RAM, 64GB Storage, Expandable 2.5"" SATA HDD Slot, Windows 10 Home S Mode, English - Black",$229.99,3.9 out of 5 stars
"Hyundai Thinnote-A, 14.1"" Celeron Laptop, 4GB RAM, 64GB Storage, Expandable 2.5"" SATA HDD Slot, Windows 10 Home S Mode, English - Black",$0,3.9 out of 5 stars
"2021 Newest HP Pavilion Laptop, 15.6"" HD Display, AMD Athlon Gold 3150U Processor Up to 3.3GHz, Webcam, HDMI, Compact Design, Long Battery Life, Win 10 + Oydisen Cloth (8GB RAM | 256GB SSD)",$429.99,4.4 out of 5 stars
"2021 Newest HP Pavilion Laptop, 15.6"" HD Display, AMD Athlon Gold 3150U Processor Up to 3.3GHz, Webcam, HDMI, Compact Design, Long Battery Life, Win 10 + Oydisen Cloth (8GB RAM | 256GB SSD)",$0,4.4 out of 5 stars
"2021 Newest Dell Inspiron 15 3000 Laptop, 15.6 HD Display, Intel Celeron N4020 Processor Windows 10 Pro 8GB RAM, 128GB SSD, Online Meeting, Business and Student Webcam, Black",$449.00,3.8 out of 5 stars
"2021 Newest Dell Inspiron 15 3000 Laptop, 15.6 HD Display, Intel Celeron N4020 Processor Windows 10 Pro 8GB RAM, 128GB SSD, Online Meeting, Business and Student Webcam, Black",$0,3.8 out of 5 stars
"2020 HP 14 inch HD Laptop, Intel Celeron N4020 up to 2.8 GHz, 4GB DDR4, 64GB eMMC Storage, WiFi 5, WebCam, HDMI, Windows 10 S /Legendary Accessories (Google Classroom or Zoom Compatible) (Indigo Blue)",$379.99,4.6 out of 5 stars
"2020 HP 14 inch HD Laptop, Intel Celeron N4020 up to 2.8 GHz, 4GB DDR4, 64GB eMMC Storage, WiFi 5, WebCam, HDMI, Windows 10 S /Legendary Accessories (Google Classroom or Zoom Compatible) (Indigo Blue)",$0,4.6 out of 5 stars
"HP Stream 11 Pro G2 Laptop Computer 11.6"" LED Display PC, Intel Dual-Core Processor, 4GB DDR3 RAM, 64GB eMMC, HD Webcam, HDMI, WiFi, Bluetooth, Windows 10 (Renewed)",$219.99,4.1 out of 5 stars
"HP Stream 11 Pro G2 Laptop Computer 11.6"" LED Display PC, Intel Dual-Core Processor, 4GB DDR3 RAM, 64GB eMMC, HD Webcam, HDMI, WiFi, Bluetooth, Windows 10 (Renewed)",$0,4.1 out of 5 stars
"HP Stream 14-Inch Touchscreen Laptop, AMD Gold 3150U, 4 GB SDRAM, 64 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for One Year (Sliver) cm Accessories",$389.99,4.9 out of 5 stars
"HP Stream 14-Inch Touchscreen Laptop, AMD Gold 3150U, 4 GB SDRAM, 64 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for One Year (Sliver) cm Accessories",$0,4.9 out of 5 stars
Newest HP Pavilion Intel Pentium Silver N5000 4GB 128GB SSD Windows 10 Laptop Red,$361.99,4.5 out of 5 stars
Newest HP Pavilion Intel Pentium Silver N5000 4GB 128GB SSD Windows 10 Laptop Red,$0,4.5 out of 5 stars
"Latest_Dell Inspiron 15 3000 Laptop, 15.6” HD Anti-Glare LED-Backlit Narrow Border Display, Intel_Celeron N4020 Processor, 4GB RAM, 128GB SSD, Windows 10, Wireless+ Bluetooth, HDMI",$339.00,5.0 out of 5 stars
"Latest_Dell Inspiron 15 3000 Laptop, 15.6” HD Anti-Glare LED-Backlit Narrow Border Display, Intel_Celeron N4020 Processor, 4GB RAM, 128GB SSD, Windows 10, Wireless+ Bluetooth, HDMI",$0,5.0 out of 5 stars
